"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR303W",5934.34529050564,-0.550312745847562,0.107533700184188,-5.11758402161337,3.09474211348814e-07,0.00173924506778033
"YLR216C",4436.59992677717,-0.58940496577069,0.125428026665495,-4.69914883810282,2.61248012994975e-06,0.00734106916515881
"YKL096W",5433.70438612326,-0.534723929445249,0.117284420688274,-4.55920680945744,5.13471873441312e-06,0.00961903976246725
"YDR543C",20.8760050603331,-1.17031739142027,0.266098932526484,-4.39805368743367,1.09225963693389e-05,0.0153462478989211
"YDR147W",502.730251071101,0.338190017318159,0.0806441443478407,4.19360909651978,2.74550940808054e-05,0.0226272419916288
"YKR099W",1948.19878697873,-0.252911684558079,0.0607613529468099,-4.16237743717584,3.14951196977119e-05,0.0226272419916288
"YGR109C",648.107479112891,0.407623198195925,0.0983196829639666,4.14589618179827,3.38487178677197e-05,0.0226272419916288
"YOR079C",416.207076005074,-0.32938283291844,0.079577593790345,-4.13914039404397,3.48609575246919e-05,0.0226272419916288
"YDR092W",2577.76476460733,-0.451127768539935,0.109534743057222,-4.11858151987686,3.81211713980034e-05,0.0226272419916288
"YOR287C",2172.73912189025,-0.491126835068652,0.11961283530123,-4.10597101750669,4.02619964263858e-05,0.0226272419916288
"YLR064W",2005.58739618463,-0.31137396727159,0.0762475525644193,-4.08372409079647,4.43196492587045e-05,0.0226433117121745
"YLR050C",2079.48353802417,-0.389347750325677,0.0964469070875659,-4.03691276457606,5.41591959315276e-05,0.0253645567612654
"YGR221C",229.176842493772,0.370390639370359,0.093328796888227,3.96866403210949,7.2276697719088e-05,0.0308724693872216
"YEL059C-A",673.977677302235,-0.420851073953806,0.106441070252461,-3.95384105924165,7.6906507370303e-05,0.0308724693872216
"YHL020C",595.367413773024,0.344733280790425,0.0875631622428616,3.93696700713352,8.25179469781286e-05,0.0309167241344722
"YHR011W",253.258103609457,0.46410986798303,0.118800985038965,3.90661632839838,9.35975929094056e-05,0.0328761545094287
"YDL175C",255.223446856662,0.458926884116933,0.118084881567602,3.88641524659704,0.000101735423104365,0.0336325339909723
"YNL111C",6325.70056757346,-0.625131003807946,0.16444877964993,-3.80137210588423,0.000143897008921786,0.0449278438966908
"YLR110C",309795.304170417,-0.474821962918333,0.126760570242021,-3.74581750470014,0.000179807272861068,0.0451501190210322
"YOR231W",261.436566272794,0.413880789896894,0.111170678948341,3.72293120643093,0.000196923191052394,0.0451501190210322
"YBR054W",204.140159792959,0.757439002433835,0.203569916169835,3.72078063736057,0.000198607900547317,0.0451501190210322
"YOR313C",71.2701704413848,0.700521753243006,0.188339939851439,3.71945405629613,0.000199653858676055,0.0451501190210322
"YAL005C",5527.84911873841,-0.691112540050173,0.185840282439022,-3.71885218306715,0.000200130117281879,0.0451501190210322
"YGR060W",19705.5649854545,-0.246790855887816,0.0664313839082802,-3.7149738778369,0.000203224687341259,0.0451501190210322
"YGL157W",1703.71408834703,-0.452979344914039,0.122121680052735,-3.70924593174964,0.000207877437337103,0.0451501190210322
"YDR072C",1028.86531492512,-0.434805169639441,0.117260486757849,-3.70802801234607,0.000208879554189828,0.0451501190210322
"YPL075W",478.102541887502,0.356037223384009,0.0963335609993058,3.69587939748822,0.000219126980621199,0.0456108752255977
"YLR109W",57163.9853985263,-0.483056055455844,0.132378657028783,-3.64904786238172,0.000263214065573187,0.0528308231614754
"YPR151C",391.065334940776,-0.513011729129404,0.141289543584782,-3.63092495108505,0.000282407302755999,0.0547285876375419
"YER142C",242.131130431707,-0.482601823312896,0.134570960635193,-3.58622559454842,0.00033549874811833,0.0628500988141671
"YNR066C",44.3711763091956,-0.840166787623819,0.23540570062005,-3.56901632123118,0.00035832410471348,0.0649606925319276
"YJL037W",164.253024475278,-0.686305966566816,0.193758019191477,-3.54207773918555,0.000396988459019502,0.0690960716477316
"YHL028W",81.482987590453,0.772283458443173,0.21853035943758,3.53398704157518,0.000409341147141021,0.0690960716477316
"YDL110C",969.655783877427,-0.567311520138558,0.161179613350814,-3.51974736968615,0.000431958021647675,0.0690960716477316
"YBR105C",640.851049828481,-0.540870117928002,0.153691786917794,-3.51918686596637,0.000432871697222675,0.0690960716477316
"YOR382W",2461.97896115038,-1.00760037985084,0.286797508499321,-3.5132814964926,0.000442608288134935,0.0690960716477316
"YHR070W",4859.91727377297,-0.323603642734104,0.0925094991789841,-3.49805853027058,0.000468658269049218,0.0701744932175202
"YDR475C",372.061004776981,0.497885341077996,0.142466275454068,3.49475929998967,0.000474489455919176,0.0701744932175202
"YJL173C",3317.2942000521,-0.343146618283429,0.0985756255712958,-3.48104935976536,0.000499453441157542,0.0719725215206509
"YHR039C-A",16392.5980161732,-0.423664942479222,0.122693309009592,-3.45304031572008,0.000554306152866321,0.0768200115775967
