,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
17,YDR543C,20.87600506,-1.170317391,0.266098933,-4.398053687,1.09E-05,0.015346248,YDR543C
57,YOR382W,2461.978961,-1.00760038,0.286797508,-3.513281496,0.000442608,0.069096072,FIT2
49,YMR191W,78.17832108,-0.852947236,0.24759745,-3.444895068,0.000571281,0.076820011,SPG5
52,YNR066C,44.37117631,-0.840166788,0.235405701,-3.569016321,0.000358324,0.064960693,YNR066C
1,YAL005C,5527.849119,-0.69111254,0.185840282,-3.718852183,0.00020013,0.045150119,SSA1
34,YJL037W,164.2530245,-0.686305967,0.193758019,-3.542077739,0.000396988,0.069096072,IRC18
50,YNL111C,6325.700568,-0.625131004,0.16444878,-3.801372106,0.000143897,0.044927844,CYB5
46,YLR216C,4436.599927,-0.589404966,0.125428027,-4.699148838,2.61E-06,0.007341069,CPR6
8,YDL110C,969.6557839,-0.56731152,0.161179613,-3.51974737,0.000431958,0.069096072,TMA17
47,YLR303W,5934.345291,-0.550312746,0.1075337,-5.117584022,3.09E-07,0.001739245,MET17
5,YBR105C,640.8510498,-0.540870118,0.153691787,-3.519186866,0.000432872,0.069096072,VID24
38,YKL096W,5433.704386,-0.534723929,0.117284421,-4.55920681,5.13E-06,0.00961904,CWP1
15,YDR380W,975.6999173,-0.534688493,0.161592235,-3.308874912,0.000936717,0.098310482,ARO10
36,YJL218W,194.3715848,-0.519755387,0.152491183,-3.408429113,0.000653381,0.081599976,YJL218W
60,YPR151C,391.0653349,-0.513011729,0.141289544,-3.630924951,0.000282407,0.054728588,SUE1
55,YOR287C,2172.739122,-0.491126835,0.119612835,-4.105971018,4.03E-05,0.022627242,RRP36
44,YLR109W,57163.9854,-0.483056055,0.132378657,-3.649047863,0.000263214,0.052830823,AHP1
20,YER142C,242.1311304,-0.482601823,0.134570961,-3.586225595,0.000335499,0.062850099,MAG1
59,YPL189C-A,1798.721286,-0.482373683,0.144792838,-3.331474738,0.000863871,0.093453551,COA2
45,YLR110C,309795.3042,-0.474821963,0.12676057,-3.745817505,0.000179807,0.045150119,CCW12
22,YGL157W,1703.714088,-0.452979345,0.12212168,-3.709245932,0.000207877,0.045150119,ARI1
12,YDR092W,2577.764765,-0.451127769,0.109534743,-4.11858152,3.81E-05,0.022627242,UBC13
11,YDR072C,1028.865315,-0.43480517,0.117260487,-3.708028013,0.00020888,0.045150119,IPT1
29,YHR039C-A,16392.59802,-0.423664942,0.122693309,-3.453040316,0.000554306,0.076820011,VMA10
18,YEL059C-A,673.9776773,-0.420851074,0.10644107,-3.953841059,7.69E-05,0.030872469,SOM1
7,YDL097C,3141.665823,-0.413549756,0.125584137,-3.293009488,0.000991211,0.09847265,RPN6
41,YLR050C,2079.483538,-0.38934775,0.096446907,-4.036912765,5.42E-05,0.025364557,EMA19
31,YHR071W,1424.47654,-0.365490941,0.109244638,-3.345619035,0.000820991,0.093453551,PCL5
3,YBL054W,2306.554523,-0.348605967,0.102491693,-3.401309472,0.000670639,0.081934541,TOD6
6,YCR015C,2036.479798,-0.345181639,0.101974589,-3.384976994,0.000711842,0.083344858,CTO1
35,YJL173C,3317.2942,-0.343146618,0.098575626,-3.48104936,0.000499453,0.071972521,RFA3
53,YOR079C,416.207076,-0.329382833,0.079577594,-4.139140394,3.49E-05,0.022627242,ATX2
19,YER048W-A,2383.373342,-0.324319645,0.098345734,-3.297750015,0.000974629,0.09847265,ISD11
30,YHR070W,4859.917274,-0.323603643,0.092509499,-3.49805853,0.000468658,0.070174493,TRM5
42,YLR064W,2005.587396,-0.311373967,0.076247553,-4.083724091,4.43E-05,0.022643312,PER33
