replicate	date	strain	age	images_counted	cells_nobuds	cells_budsincluded	max_scars	avg_scars_mothers	avg_scars_all	dead	nobuds_living
1.3	3/9/21	4x	aged	32	83	138	8	2.79	3.1	56	48
1.3	3/9/21	4x	young	31	92	169	5	2.4	2.24	0	92
1.4	3/18/21	4x	aged	22	177	301	13	3.57	3.25	71	112
1.4	3/18/21	4x	young	18	153	280	6	2.45	2.24	1	152
1.7	3/25/21	4x	aged	24	65	117	8	3.125	2.89	1	63
1.7	3/25/21	4x	young	20	75	124	8	2.73	2.42	1	74
1.8	1/20/23	4x	aged	23	70	107	7	2.6	2.28	1	69
1.8	1/20/23	4x	young	19	76	114	3	2.18	1.87	0	76
1.9	1/24/23	4x	aged	21	34	49	6	2.96	2.61	1	33
1.9	1/24/23	4x	young	21	37	60	3	2.25	1.95	1	37
2.4	3/25/21	YPS128	aged	18	78	134	7	3.39	3.05	1	77
2.4	3/25/21	YPS128	young	21	69	111	4	2.33	2.06	0	69
2.5	4/8/21	YPS128	aged	21	46	70	8	3.39	2.8	1	44
2.5	4/8/21	YPS128	young	29	73	107	5	2.34	1.91	2	70
2.6	4/22/21	YPS128	aged	21	119	197	7	3.25	2.92	5	118
2.6	4/22/21	YPS128	young	20	72	120	5	2.46	2.19	0	72
2.7	1/20/23	YPS128	aged	19	60	89	12	3.18	2.66	4	58
2.7	1/20/23	YPS128	young	20	84	110	5	2.53	2.06	0	84
2.8	2/9/23	YPS128	aged	23	41	56	10	3.29	2.56	0	41
2.8	2/9/23	YPS128	young	20	55	78	4	2.36	1.96	0	55
2.9	2/9/23	YPS128	aged	20	41	56	5	2.93	2.45	3	40
2.9	2/9/23	YPS128	young	21	35	51	6	2.39	1.91	0	35
3.3	3/5/21	Y12	aged	31	59	101	13	4.49	4.07	31	42
3.3	3/5/21	Y12	young	35	82	131	8	3.062	2.74	10	76
3.4	4/22/21	Y12	aged	22	95	137	10	3.2	2.66	9	86
3.4	4/22/21	Y12	young	22	95	146	4	2.28	1.87	0	95
3.5	4/29/21	Y12	aged	21	101	116	8	3.38	2.89	15	92
3.5	4/29/21	Y12	young	22	63	102	5	2.46	2.25	0	63
3.6	1/24/23	Y12	aged	20	51	78	9	3.09	2.82	3	50
3.6	1/24/23	Y12	young	20	38	54	4	2.19	1.87	1	38
3.7	1/31/23	Y12	aged	21	64	98	6	3.24	2.778	1	63
3.7	1/31/23	Y12	young	20	64	93	3	2.2	1.843	0	64
4.1	2/16/21	DBVPG6044	aged	25	47	89	9	3.625	3.47	40	17
4.1	2/16/21	DBVPG6044	young	22	82	126	5	2.39	2.13	8	77
4.2	3/16/21	DBVPG6044	aged	18	58	86	8	3.39	2.8	25	44
4.2	3/16/21	DBVPG6044	young	17	131	165	5	2.45	1.73	2	130
4.3	4/1/21	DBVPG6044	aged	15	60	102	11	3.92	3.48	0	60
4.3	4/1/21	DBVPG6044	young	18	77	100	4	2.35	1.6	1	77
4.4	5/13/21	DBVPG6044	aged	21	73	108	8	3.54	2.94	4	72
4.4	5/13/21	DBVPG6044	young	19	38	45	4	2.4	1.74	1	38
5.1	2/23/21	DBVPG6765	aged	26	199	317	12	4.68	4.28	152	129
5.1	2/23/21	DBVPG6765	young	21	213	364	10	2.89	2.51	2	212
5.2	3/18/21	DBVPG6765	aged	17	71	93	7	2.9	2.55	49	38
5.2	3/18/21	DBVPG6765	young	8	46	66	6	2.63	2.11	6	44
5.3	4/8/21	DBVPG6765	aged	25	68	97	10	3.25	2.83	9	59
5.3	4/8/21	DBVPG6765	young	16	55	79	5	2.48	1.85	5	54
5.4	4/29/21	DBVPG6765	aged	21	60	86	8	3.74	3.28	0	60
5.4	4/29/21	DBVPG6765	young	25	47	68	5	2.53	2.1	0	47
