sample	condition	subject
RNAseq_OLD_rep01.bam	old	pair1
RNAseq_OLD_rep02.bam	old	pair2
RNAseq_OLD_rep03.bam	old	pair3
RNAseq_OLD_rep04.bam	old	pair4
RNAseq_OLD_rep05.bam	old	pair5
RNAseq_OLD_rep06.bam	old	pair6
RNAseq_OLD_rep07.bam	old	pair7
RNAseq_OLD_rep08.bam	old	pair8
RNAseq_OLD_rep09.bam	old	pair9
RNAseq_OLD_rep10.bam	old	pair10
RNAseq_OLD_rep11.bam	old	pair11
RNAseq_OLD_rep12.bam	old	pair12
RNAseq_YOUNG_rep01.bam	young	pair1
RNAseq_YOUNG_rep02.bam	young	pair2
RNAseq_YOUNG_rep03.bam	young	pair3
RNAseq_YOUNG_rep04.bam	young	pair4
RNAseq_YOUNG_rep05.bam	young	pair5
RNAseq_YOUNG_rep06.bam	young	pair6
RNAseq_YOUNG_rep07.bam	young	pair7
RNAseq_YOUNG_rep08.bam	young	pair8
RNAseq_YOUNG_rep09.bam	young	pair9
RNAseq_YOUNG_rep10.bam	young	pair10
RNAseq_YOUNG_rep11.bam	young	pair11
RNAseq_YOUNG_rep12.bam	young	pair12
