,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
7,YDR543C,20.87600506,-1.170317391,0.266098933,-4.398053687,1.09225964018037e-05,0.015346248,YDR543C
1,YAL005C,5527.849119,-0.69111254,0.185840282,-3.718852183,0.00020013,0.045150119,SSA1
22,YNL111C,6325.700568,-0.625131004,0.16444878,-3.801372106,0.000143897,0.044927844,CYB5
20,YLR216C,4436.599927,-0.589404966,0.125428027,-4.699148838,2.61248012556848e-06,0.007341069,CPR6
21,YLR303W,5934.345291,-0.550312746,0.1075337,-5.117584022,3.09474210903294e-07,0.001739245,MET17
15,YKL096W,5433.704386,-0.534723929,0.117284421,-4.55920681,5.1347187271544e-06,0.00961904,CWP1
25,YOR287C,2172.739122,-0.491126835,0.119612835,-4.105971018,4.02619963833424e-05,0.022627242,RRP36
19,YLR110C,309795.3042,-0.474821963,0.12676057,-3.745817505,0.000179807,0.045150119,CCW12
9,YGL157W,1703.714088,-0.452979345,0.12212168,-3.709245932,0.000207877,0.045150119,ARI1
5,YDR092W,2577.764765,-0.451127769,0.109534743,-4.11858152,3.81211713645664e-05,0.022627242,UBC13
4,YDR072C,1028.865315,-0.43480517,0.117260487,-3.708028013,0.00020888,0.045150119,IPT1
8,YEL059C-A,673.9776773,-0.420851074,0.10644107,-3.953841059,7.69065073569238e-05,0.030872469,SOM1
17,YLR050C,2079.483538,-0.38934775,0.096446907,-4.036912765,5.41591959085014e-05,0.025364557,EMA19
23,YOR079C,416.207076,-0.329382833,0.079577594,-4.139140394,3.48609575913913e-05,0.022627242,ATX2
18,YLR064W,2005.587396,-0.311373967,0.076247553,-4.083724091,4.43196492809857e-05,0.022643312,PER33
16,YKR099W,1948.198787,-0.252911685,0.060761353,-4.162377437,3.14951197591723e-05,0.022627242,BAS1
10,YGR060W,19705.56499,-0.246790856,0.066431384,-3.714973878,0.000203225,0.045150119,ERG25
6,YDR147W,502.7302511,0.338190017,0.080644144,4.193609096,2.74550941224297e-05,0.022627242,EKI1
13,YHL020C,595.3674138,0.344733281,0.087563162,3.936967007,8.25179470362003e-05,0.030916724,OPI1
27,YPL075W,478.1025419,0.356037223,0.096333561,3.695879397,0.000219127,0.045610875,GCR1
12,YGR221C,229.1768425,0.370390639,0.093328797,3.968664032,7.22766978631418e-05,0.030872469,TOS2
11,YGR109C,648.1074791,0.407623198,0.098319683,4.145896182,3.38487178727504e-05,0.022627242,CLB6
24,YOR231W,261.4365663,0.41388079,0.111170679,3.722931206,0.000196923,0.045150119,MKK1
3,YDL175C,255.2234469,0.458926884,0.118084882,3.886415246,0.000101735,0.033632534,AIR2
14,YHR011W,253.2581036,0.464109868,0.118800985,3.906616328,9.35975929557145e-05,0.032876155,DIA4
26,YOR313C,71.27017044,0.700521753,0.18833994,3.719454056,0.000199654,0.045150119,SPS4
2,YBR054W,204.1401598,0.757439002,0.203569916,3.720780638,0.000198608,0.045150119,YRO2
