"SNPs" "indels"
"N_old_01" 187.342585273457 194.534997075453
"N_old_02" 147.330131694731 152.4692922597
"N_old_03" 116.975838565825 119.883408071749
"N_old_04" 52.6635744008113 49.5644375121856
"N_old_05" 153.445554743546 155.406122051082
"N_old_06" 147.17934644812 137.550399688048
"N_old_07" 98.4375605900163 100.25326574381
"N_old_08" 99.8027114498352 102.58646909729
"N_old_09" 36.7945532371847 34.8670306102554
"N_old_10" 94.3589911855509 79.2364983427569
"N_old_11" 100.662769019672 85.104308832131
"N_old_12" 100.118391027458 83.3837005264184
"N_young_01" 181.445599486942 188.262039383895
"N_young_02" 207.895151307253 207.816143497758
"N_young_03" 124.557428149562 128.851238058101
"N_young_04" 160.30816268699 161.776954572041
"N_young_05" 43.0285164581127 39.1906804445311
"N_young_06" 40.1056242449552 36.0678494833301
"N_young_07" 51.2639412966636 43.814193799961
"N_young_08" 101.135333860311 105.329693897446
"N_young_09" 72.797625617086 78.8976408656658
"N_young_10" 93.4420945875405 95.9797231429128
"N_young_11" 277.367969693806 277.732306492494
"N_young_12" 121.932661188086 122.731916552934
