"","replicate","segregating_sites"
"1","old_01",66944
"2","young_01",66901
"3","old_02",66947
"4","young_02",66935
"5","old_03",66939
"6","young_03",66941
"7","old_04",66650
"8","young_04",66935
"9","old_05",66969
"10","young_05",66498
"11","old_06",66893
"12","young_06",66347
"13","old_07",66961
"14","young_07",66551
"15","old_08",66939
"16","young_08",66928
"17","old_09",66240
"18","young_09",66882
"19","old_10",66529
"20","young_10",66880
"21","old_11",66528
"22","young_11",66935
"23","old_12",66550
"24","young_12",66942
