"RNAseq_OLD_rep01.bam" "RNAseq_OLD_rep02.bam" "RNAseq_OLD_rep03.bam" "RNAseq_OLD_rep04.bam" "RNAseq_OLD_rep05.bam" "RNAseq_OLD_rep06.bam" "RNAseq_OLD_rep07.bam" "RNAseq_OLD_rep08.bam" "RNAseq_OLD_rep09.bam" "RNAseq_OLD_rep10.bam" "RNAseq_OLD_rep11.bam" "RNAseq_OLD_rep12.bam" "RNAseq_YOUNG_rep01.bam" "RNAseq_YOUNG_rep02.bam" "RNAseq_YOUNG_rep03.bam" "RNAseq_YOUNG_rep04.bam" "RNAseq_YOUNG_rep05.bam" "RNAseq_YOUNG_rep06.bam" "RNAseq_YOUNG_rep07.bam" "RNAseq_YOUNG_rep08.bam" "RNAseq_YOUNG_rep09.bam" "RNAseq_YOUNG_rep10.bam" "RNAseq_YOUNG_rep11.bam" "RNAseq_YOUNG_rep12.bam"
"YAL069W" 8 42 30 18 10 16 42 21 21 0 29 19 30 45 16 43 8 8 48 13 41 23 16 24
"YAL068W-A" 13 0 0 0 0 1 0 0 0 8 0 0 2 0 0 0 0 0 0 0 5 0 0 0
"YAL068C" 16 20 27 25 9 31 22 11 8 28 17 18 13 34 11 11 11 20 35 24 29 19 12 11
"YAL067W-A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"YAL067C" 91 130 98 191 144 108 147 80 59 103 126 90 88 115 77 116 33 93 143 103 183 103 83 103
"YAL066W" 39 81 103 94 120 72 77 39 58 42 95 80 69 69 28 106 50 56 120 117 108 55 80 53
"YAL065C" 9 21 23 12 23 6 0 9 12 0 22 15 25 47 21 4 16 8 36 59 45 21 28 10
"YAL064W-B" 90 117 123 173 98 160 201 140 96 118 214 95 193 238 132 151 130 95 164 150 183 171 134 113
"YAL064C-A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"YAL064W" 0 0 1 1 1 0 0 1 0 5 2 0 0 0 0 5 7 4 1 0 3 1 1 6
"YAL063C-A" 0 3 9 20 1 33 8 28 4 2 7 4 11 19 10 18 16 14 4 28 25 17 35 9
"YAL063C" 11 3 12 9 2 0 7 8 6 1 0 4 1 4 0 2 9 3 14 0 0 0 3 13
"YAL062W" 56 28 48 58 102 86 59 79 21 28 55 45 53 74 42 33 42 47 61 98 60 77 62 60
"YAL061W" 177 64 42 98 126 134 84 47 54 86 74 21 95 63 49 56 39 37 142 148 77 116 65 86
"YAL060W" 2448 2786 1574 1564 2143 2281 2023 1695 1369 3465 3258 2254 1845 2150 1715 2372 2084 1195 2523 1571 1768 1975 2161 1731
"YAL059C-A" 6 0 0 0 1 0 0 0 0 0 0 0 0 2 4 0 0 3 0 0 24 0 0 0
"YAL059W" 1428 1722 1988 2274 2265 1243 1888 1699 2032 1435 2252 1674 1734 1804 1715 2597 1530 1989 2743 2210 2701 1614 1603 1659
"YAL058W" 245 290 287 315 203 327 292 293 183 355 404 403 357 451 299 282 295 218 370 349 274 365 230 259
"YAL056C-A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"YAL056W" 275 276 283 310 314 388 171 272 154 316 491 288 386 471 191 277 257 177 354 365 458 343 352 283
"YAL055W" 382 331 486 374 312 658 506 473 253 342 529 460 430 605 375 434 240 327 527 277 526 600 393 319
"YAL054C" 296 121 218 206 301 266 156 206 158 139 202 121 203 202 143 214 133 118 275 377 304 243 163 234
"YAL053W" 1787 1167 1963 2156 1707 2972 1357 1743 688 1619 2380 1646 2158 2922 1352 1901 1084 1273 3325 2400 3724 2003 1813 1774
"YAL051W" 164 141 166 170 116 168 193 204 129 184 198 147 147 284 206 191 178 142 175 159 179 270 166 165
"YAL049C" 617 370 545 546 695 794 462 777 399 710 911 876 848 1140 695 688 628 502 860 770 794 880 642 423
"YAL048C" 4 1 30 3 2 3 0 8 1 17 1 17 9 12 6 2 5 3 8 1 18 6 0 0
"YAL047W-A" 21 2 3 5 9 11 3 1 13 4 9 11 5 19 2 15 13 1 13 36 3 14 6 6
"YAL047C" 340 314 485 473 396 524 320 458 227 411 611 372 419 577 342 516 269 390 535 441 513 528 526 412
"YAL046C" 918 837 980 805 1249 900 483 1265 1058 1157 1478 1150 1079 1001 1197 951 1346 1032 1266 945 1108 1213 1108 933
"YAL045C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
"YAL044W-A" 795 805 1107 1142 877 1115 963 1267 822 782 1260 794 1248 1530 996 1239 1022 1037 1533 1214 1318 1337 1215 1188
"YAL044C" 5695 8508 5606 5678 7297 4846 3464 6749 5989 9943 9332 8523 5549 6059 7292 6592 7155 5799 7552 5210 6035 7047 6784 5300
"YAL043C" 650 826 632 736 525 615 865 553 461 624 789 596 543 646 388 707 434 495 756 575 577 627 567 544
"YAL042C-A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"YAL042W" 1306 968 758 800 767 1386 457 1170 658 1327 1431 1254 1069 1346 1079 908 911 844 1356 973 1234 1314 1089 865
"YAL041W" 1173 993 884 1089 1042 988 961 994 757 1069 1454 1251 1035 1172 829 1175 880 1041 1129 1009 1377 1206 937 936
"YAL040C" 3737 3159 6208 5773 5047 3915 5670 4358 2250 2178 5857 3318 4436 5758 3189 8593 2382 5455 8897 7437 7451 4950 5259 4710
"YAL039C" 452 731 625 592 485 702 753 538 410 656 690 602 696 783 573 639 619 483 900 634 805 633 684 522
"YAL038W" 15682 9505 14490 12773 37929 35999 8222 41442 30274 40568 47309 48230 42791 40589 52810 20777 32086 17403 14690 19413 32796 41112 20413 12737
"YAL037C-B" 0 1 2 0 0 0 0 0 0 6 0 1 11 3 0 0 0 0 0 0 0 4 0 1
"YAL037C-A" 20 31 18 20 20 37 15 18 9 26 37 32 23 36 21 20 6 8 33 14 26 18 38 10
"YAL037W" 97 90 44 67 90 105 122 92 54 81 72 61 75 79 47 44 58 58 87 77 97 48 59 50
"YAL036C" 1290 1812 1095 1435 1477 961 1048 1290 1244 2527 1938 1896 1256 1543 1459 1316 1541 1176 1690 1202 1405 1197 1157 987
"YAL035W" 33189 36949 33569 38976 31338 33238 38877 31782 20995 31837 45321 33892 35517 46610 24535 41355 22844 28687 48167 36791 43480 38469 33376 27433
"YAL034C-B" 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0
"YAL034W-A" 201 187 306 317 209 277 247 299 139 173 342 239 226 267 168 363 133 214 293 178 257 363 276 209
"YAL034C" 240 253 181 237 180 221 235 228 93 284 329 287 269 358 192 175 184 148 256 186 244 239 207 213
"YAL033W" 750 711 932 1027 1086 595 816 761 582 845 958 994 710 836 573 1016 567 819 1249 705 1016 691 896 600
"YAL032C" 394 519 404 522 479 552 399 359 502 520 616 407 404 457 332 612 346 573 626 513 545 403 520 462
"YAL031W-A" 0 0 0 0 0 5 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 7 0 0
"YAL031C" 445 458 411 433 291 568 318 517 239 508 667 385 422 616 361 474 337 325 420 443 485 529 525 421
"YAL030W" 638 610 634 601 599 858 697 801 557 802 1073 891 938 1186 789 725 749 685 788 591 759 960 891 663
"YAL029C" 904 966 984 1055 833 851 876 915 644 944 1202 982 875 1053 789 1036 825 716 1086 1025 1165 1082 993 660
"YAL028W" 155 164 104 155 117 191 98 116 91 64 148 131 118 182 114 161 103 85 318 143 187 226 194 125
"YAL027W" 194 167 236 203 271 258 219 247 170 184 314 188 250 347 176 279 141 209 262 280 319 314 204 172
