"Gene_Name" "Gene_ID"
"1" "YAL069W" "YAL069W"
"2" "YAL068W-A" "YAL068W-A"
"3" "YAL067W-A" "YAL067W-A"
"4" "PAU8" "YAL068C"
"5" "CHR_START-YAL069W" "CHR_START-YAL069W"
"6" "YAL068W-A-PAU8" "YAL068W-A-YAL068C"
"7" "PAU8-YAL067W-A" "YAL068C-YAL067W-A"
"8" "SEO1" "YAL067C"
"9" "YAL067W-A-SEO1" "YAL067W-A-YAL067C"
"10" "YAL066W" "YAL066W"
"11" "YAL065C" "YAL065C"
"12" "YAL064W-B" "YAL064W-B"
"13" "TDA8" "YAL064C-A"
"14" "SEO1-YAL066W" "YAL067C-YAL066W"
"15" "YAL066W-YAL065C" "YAL066W-YAL065C"
"16" "YAL065C-YAL064W-B" "YAL065C-YAL064W-B"
"17" "YAL064W-B-TDA8" "YAL064W-B-YAL064C-A"
"18" "TDA8-YAL064W" "YAL064C-A-YAL064W"
"19" "YAL064W" "YAL064W"
"20" "YAL063C-A" "YAL063C-A"
"21" "FLO9" "YAL063C"
"22" "YAL064W-YAL063C-A" "YAL064W-YAL063C-A"
"23" "YAL063C-A-FLO9" "YAL063C-A-YAL063C"
"24" "GDH3" "YAL062W"
"25" "FLO9-GDH3" "YAL063C-YAL062W"
"26" "BDH2" "YAL061W"
"27" "BDH1" "YAL060W"
"28" "ECM1" "YAL059W"
"29" "YAL059C-A" "YAL059C-A"
"30" "CNE1" "YAL058W"
"31" "GDH3-BDH2" "YAL062W-YAL061W"
"32" "YAL056C-A" "YAL056C-A"
"33" "GPB2" "YAL056W"
"34" "BDH2-BDH1" "YAL061W-YAL060W"
"35" "BDH1-YAL059C-A" "YAL060W-YAL059C-A"
"36" "PEX22" "YAL055W"
"37" "ECM1-CNE1" "YAL059W-YAL058W"
"38" "ACS1" "YAL054C"
"39" "YAL056C-A-GPB2" "YAL056C-A-YAL056W"
"40" "FLC2" "YAL053W"
"41" "GPB2-PEX22" "YAL056W-YAL055W"
"42" "OAF1" "YAL051W"
