Gene_Name,conservative_inframe_insertion,disruptive_inframe_deletion,disruptive_inframe_insertion,missense_variant,upstream_gene_variant,downstream_gene_variant,synonymous_variant,frameshift_variant,variant_count
AHP1,1,2,1,6,0,0,0,0,10
CCW12,1,2,1,6,0,0,0,0,10
DIA4,0,0,0,0,3,0,0,0,3
DNM1,0,0,0,0,0,1,0,0,1
EKI1,0,1,0,0,0,0,1,0,2
FIT2,0,0,0,4,5,1,3,1,14
MRP1,0,0,0,0,0,0,1,0,1
RFA3,0,0,0,10,12,0,17,0,39
SPG5,0,0,0,0,1,0,0,0,1
TOS2,0,0,0,0,1,0,0,0,1
WSC4,0,0,0,4,0,0,10,0,14
YDR543C,0,0,0,0,1,0,0,0,1
YJL218W,0,0,0,7,1,0,18,0,26
YNR066C,0,0,0,0,0,0,1,0,1
