Gene_Name,downstream,upstream,in_range,conservative_inframe_insertion,disruptive_inframe_deletion,disruptive_inframe_insertion,missense_variant,upstream_gene_variant,downstream_gene_variant,synonymous_variant,frameshift_variant
AHP1,10,0,0,1,2,1,6,0,0,0,0
CCW12,10,0,0,1,2,1,6,0,0,0,0
DIA4,3,0,0,0,0,0,0,3,0,0,0
DNM1,1,0,0,0,0,0,0,0,1,0,0
EKI1,2,0,0,0,1,0,0,0,0,1,0
FIT2,1,13,0,0,0,0,4,5,1,3,1
IRC18,0,2,0,0,0,0,2,0,0,0,0
MRP1,0,1,0,0,0,0,0,0,0,1,0
RFA3,11,16,4,0,0,0,6,12,0,13,0
SPG5,1,0,0,0,0,0,0,1,0,0,0
TOS2,0,1,0,0,0,0,0,1,0,0,0
WSC4,8,0,2,0,0,0,4,0,0,6,0
YDR543C,0,1,0,0,0,0,0,1,0,0,0
YJL218W,26,0,0,0,0,0,7,1,0,18,0
YNR066C,0,1,0,0,0,0,0,0,0,1,0
