# Program:featureCounts v1.6.3; Command:"featureCounts" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-a" "yeast.2023.mRNA.sgd.gff" "-o" "gene_count_matrix.txt" "RNAseq_OLD_rep01.bam" "RNAseq_OLD_rep02.bam" "RNAseq_OLD_rep03.bam" "RNAseq_OLD_rep04.bam" "RNAseq_OLD_rep05.bam" "RNAseq_OLD_rep06.bam" "RNAseq_OLD_rep07.bam" "RNAseq_OLD_rep08.bam" "RNAseq_OLD_rep09.bam" "RNAseq_OLD_rep10.bam" "RNAseq_OLD_rep11.bam" "RNAseq_OLD_rep12.bam" "RNAseq_YOUNG_rep01.bam" "RNAseq_YOUNG_rep02.bam" "RNAseq_YOUNG_rep03.bam" "RNAseq_YOUNG_rep04.bam" "RNAseq_YOUNG_rep05.bam" "RNAseq_YOUNG_rep06.bam" "RNAseq_YOUNG_rep07.bam" "RNAseq_YOUNG_rep08.bam" "RNAseq_YOUNG_rep09.bam" "RNAseq_YOUNG_rep10.bam" "RNAseq_YOUNG_rep11.bam" "RNAseq_YOUNG_rep12.bam" 
Geneid	Chr	Start	End	Strand	Length	RNAseq_OLD_rep01.bam	RNAseq_OLD_rep02.bam	RNAseq_OLD_rep03.bam	RNAseq_OLD_rep04.bam	RNAseq_OLD_rep05.bam	RNAseq_OLD_rep06.bam	RNAseq_OLD_rep07.bam	RNAseq_OLD_rep08.bam	RNAseq_OLD_rep09.bam	RNAseq_OLD_rep10.bam	RNAseq_OLD_rep11.bam	RNAseq_OLD_rep12.bam	RNAseq_YOUNG_rep01.bam	RNAseq_YOUNG_rep02.bam	RNAseq_YOUNG_rep03.bam	RNAseq_YOUNG_rep04.bam	RNAseq_YOUNG_rep05.bam	RNAseq_YOUNG_rep06.bam	RNAseq_YOUNG_rep07.bam	RNAseq_YOUNG_rep08.bam	RNAseq_YOUNG_rep09.bam	RNAseq_YOUNG_rep10.bam	RNAseq_YOUNG_rep11.bam	RNAseq_YOUNG_rep12.bam
YAL069W	chrI	335	649	+	315	14	33	30	23	18	22	45	16	19	0	24	15	31	41	21	40	14	15	46	8	39	18	11	20
YAL068W-A	chrI	538	792	+	255	12	0	0	0	0	1	0	0	0	7	0	0	2	0	0	0	0	0	0	0	4	0	0	0
YAL068C	chrI	1807	2169	-	363	22	28	38	36	13	44	15	7	5	19	11	12	18	49	16	15	15	29	24	16	20	13	8	7
YAL067W-A	chrI	2480	2707	+	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL067C	chrI	7013	9049	-	2037	91	124	99	179	140	108	154	76	56	104	124	88	87	113	76	114	36	90	146	104	193	103	82	105
YAL066W	chrI	9807	10460	+	654	40	77	97	89	112	71	80	36	59	41	96	82	67	68	29	100	49	55	126	124	113	54	82	53
YAL065C	chrI	11565	11951	-	387	17	24	28	21	29	17	0	4	7	0	14	9	35	50	30	21	26	21	24	50	34	12	19	4
YAL064W-B	chrI	11313	15151	+	3839	99	125	133	183	109	170	193	128	88	109	201	85	203	250	142	164	139	104	150	138	170	159	123	103
YAL064C-A	chrI	13363	13743	-	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
YAL064W	chrI	21566	21850	+	285	0	0	1	1	1	0	0	1	0	4	2	0	0	0	0	4	7	3	1	0	3	1	1	5
YAL063C-A	chrI;chrI	22051;22363	23617;23219	-;-	1567	0	2	7	19	1	34	9	26	5	2	9	5	8	16	8	15	14	12	6	28	26	19	34	11
YAL063C	chrI	24000	27968	-	3969	9	3	10	8	2	0	6	7	5	1	0	3	1	4	0	2	7	3	15	0	0	0	2	15
YAL062W	chrI;chrI	31527;31529	33039;33028	+;+	1513	62	31	53	65	114	96	52	70	18	25	49	40	59	83	46	36	46	52	54	87	53	68	55	53
YAL061W	chrI;chrI	33345;33359	35018;35113	+;+	1769	197	73	49	112	142	151	73	39	46	75	63	17	108	73	56	65	45	43	125	131	66	102	56	75
YAL060W	chrI;chrI	34983;35107	36415;36433	+;+	1451	2417	2588	1936	1925	2399	2474	1925	1409	1192	3713	3131	2124	1974	2312	1795	2443	1996	1425	2389	1377	1562	1829	2094	1635
YAL059C-A	chrI	36496	36918	-	423	9	0	0	0	1	0	0	0	0	0	0	0	0	4	8	0	0	6	0	0	12	0	0	0
YAL059W	chrI;chrI	36463;36466	37344;37344	+;+	882	1777	2140	2472	2825	2815	1550	1519	1364	1636	1152	1809	1345	2158	2246	2132	3227	1903	2471	2206	1777	2173	1295	1287	1333
YAL058W	chrI;chrI	37405;37419	39163;39163	+;+	1759	303	380	357	401	225	416	221	244	157	255	317	288	477	612	395	342	394	266	293	264	232	275	197	204
YAL056C-A	chrI	38696	39046	-	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL056W	chrI;chrI	39196;39234	42040;42040	+;+	2845	345	343	361	390	398	475	127	208	114	256	399	227	471	572	255	364	324	239	275	292	373	271	282	224
YAL055W	chrI;chrI	42142;42167	42838;42884	+;+	743	411	354	524	399	330	716	464	440	237	319	493	426	463	656	404	465	255	351	489	262	486	551	365	297
YAL054C	chrI	42713	45073	-	2361	320	123	229	216	322	283	149	198	150	135	197	120	212	208	147	221	136	119	262	346	285	231	159	219
YAL053W	chrI;chrI	45675;45728	48312;48310	+;+	2638	2406	1482	2621	2921	2209	4178	1046	1354	597	1216	1794	1258	2857	3949	1696	2411	1322	1584	2432	1795	2627	1558	1415	1358
YAL051W	chrI	48564	51707	+	3144	183	159	187	191	136	190	174	181	114	165	173	129	169	313	227	217	198	161	151	138	156	244	145	146
YAL049C	chrI;chrI	51691;51719	54082;53580	-;-	2392	657	391	578	579	740	847	434	728	375	664	854	818	905	1219	741	730	669	533	808	722	745	824	603	399
YAL048C	chrI	52801	54789	-	1989	8	3	23	7	6	8	0	4	1	13	1	13	12	15	9	7	8	7	4	1	13	3	0	0
YAL047W-A	chrI;chrI	54209;54221	55063;55065	+;+	857	17	2	3	4	8	9	2	1	14	3	9	12	5	16	2	13	11	1	13	44	2	15	5	6
YAL047C	chrI;chrI	54931;54934	56886;56886	-;-	1956	346	322	468	459	410	501	313	455	209	420	625	364	422	558	351	511	289	385	529	436	514	538	545	416
YAL046C	chrI;chrI	56907;56915	57544;57489	-;-	638	901	831	985	855	1195	938	423	1302	1130	1233	1525	1197	1071	1065	1114	1021	1198	996	1246	910	1083	1226	1117	931
YAL045C	chrI	57488	57796	-	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
YAL044W-A	chrI;chrI	56955;56973	57990;57958	+;+	1036	761	761	1024	1049	859	1038	1044	1371	880	816	1331	815	1165	1417	946	1192	955	975	1624	1279	1386	1422	1289	1282
YAL044C	chrI;chrI	57756;57868	58476;58614	-;-	859	6241	8265	6445	6495	7920	5891	2829	6049	5667	10166	8704	8290	6218	6946	7310	7331	7099	6161	6854	4540	5330	6529	6346	4826
YAL043C	chrI;chrI	58499;58603	61068;61083	-;-	2585	679	856	664	769	556	647	834	522	437	596	750	566	569	676	409	738	455	518	722	548	548	598	541	520
YAL042C-A	chrI	61231	61608	-	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL042W	chrI;chrI	61259;61269	62654;62680	+;+	1422	1355	1108	1046	1076	1083	1513	306	972	513	1222	1208	1106	1271	1559	1211	1231	1069	1042	1126	776	1028	1132	911	701
YAL041W	chrI;chrI	62773;62808	65463;65501	+;+	2729	1237	1083	1061	1224	1212	1160	864	841	655	977	1301	1155	1162	1333	956	1327	980	1119	963	878	1260	1085	810	833
YAL040C	chrI;chrI	65456;65596	67848;67848	-;-	2393	3288	2778	5471	5086	4442	3442	6431	4954	2562	2481	6654	3774	3900	5064	2800	7572	2089	4803	10099	8441	8460	5630	5977	5352
YAL039C	chrI;chrI	68629;68647	69642;70088	-;-	1460	606	775	774	750	697	840	675	399	314	561	529	486	828	952	701	846	713	635	744	500	665	493	560	409
YAL038W	chrI;chrI	71479;71644	73450;73448	+;+	1972	14840	8398	13255	11466	39099	36983	9644	39825	28907	37872	45542	44712	45372	42044	57844	19838	33685	16878	16626	20373	32365	39134	21120	13895
YAL037C-B	chrI	72326	73300	-	975	0	1	2	0	0	0	0	0	0	5	0	1	11	3	0	0	0	0	0	0	0	3	0	1
YAL037C-A	chrI	73371	73710	-	340	21	31	20	22	22	38	13	15	7	24	34	30	24	36	22	21	7	9	31	12	24	16	37	8
YAL037W	chrI;chrI	73453;73462	76400;76400	+;+	2948	119	112	84	104	126	135	101	65	36	59	44	39	96	106	69	77	76	78	63	57	75	30	41	34
YAL036C	chrI;chrI	74176;74778	76203;76207	-;-	2032	1677	2131	1555	1886	1962	1436	775	936	971	2206	1492	1542	1644	1999	1773	1771	1821	1507	1302	897	1064	885	865	732
YAL035W	chrI;chrI	76364;76365	79555;79559	+;+	3196	38524	41924	39796	45144	37930	39715	34245	26243	17213	27246	38516	28814	41383	53473	29653	48142	27664	33773	41514	31418	37496	32887	28308	23045
YAL034C-B	chrI	79446	79873	-	428	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0
YAL034W-A	chrI;chrI	79674;79684	80744;80747	+;+	1074	198	184	305	316	204	274	247	301	142	176	344	241	223	263	164	363	129	212	296	182	260	361	277	211
YAL034C	chrI;chrI	80549;80563	82586;82602	-;-	2054	312	329	234	308	233	287	180	175	71	217	252	220	350	467	249	227	239	192	196	143	187	183	159	163
YAL033W	chrI;chrI	82685;82701	83397;83397	+;+	713	802	760	1016	1151	1213	559	726	784	575	751	953	866	740	871	584	1125	586	924	1070	701	905	703	795	594
YAL032C	chrI;chrI	83192;83198	84504;84590	-;-	1399	394	524	402	524	479	554	398	362	496	515	614	407	403	455	330	616	345	580	623	510	543	404	517	459
YAL031W-A	chrI	84669	84977	+	309	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	5	0	0
YAL031C	chrI;chrI	84587;84587	87078;87031	-;-	2492	496	513	453	478	313	635	289	465	220	451	597	349	466	689	399	523	372	357	385	400	438	474	469	378
YAL030W	chrI;chrI	87264;87264	88061;88013	+;+	798	665	636	650	613	606	904	659	770	535	749	1015	833	999	1272	837	740	795	717	776	588	741	906	840	637
