Gene ID,Gene Name,Chromosome,Start Position,End Position,SGD_description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj ,variant_positions,sig_pvals,closest_upstream_variant,dist_from_UGV,upstream_pval,closest_downstream_variant,downstream_pval
YHL028W,WSC4,chr8,48763,50580,Protein transmembrane transporter of the endoplasmic reticulum membraneinvolved in heat response and protein targeting to ER,81.48298759,-0.772283114,0.218530358,-3.533985486,0.000409344,0.06909513,"49887, 49899","4.18031123044577E-07, 3.75E-08",NA,NA,NA,NA,NA
YBR054W,YRO2,chr2,343101,344135,Protein whose biological role is unknown; localized to the mitochondrion and detected in the plasma membrane in the presence of acetic acid,204.1401598,-0.757438647,0.203569916,-3.720778895,0.000198609,0.045149906,NA,NA,324135,18966,5.45E-07,372350,8.12E-17
YHR124W,NDT80,chr8,356561,358444,Sequence-specific DNA binding transcription factor that activates transcription of middle sporulation genes by RNA polymerase II,41.22829328,-0.74747036,0.228318345,-3.273807714,0.001061088,0.099792774,NA,NA,201673,154888,5.19E-08,467079,5.54E-07
YOR313C,SPS4,chr15,901858,902874,Lipid droplet protein implicated in sporulation,71.27017044,-0.700521539,0.188339939,-3.719452925,0.000199655,0.045149906,NA,NA,407924,493934,5.23E-08,1054799,5.14E-08
YIL064W,EFM4,chr9,242027,242716,S-adenosylmethionine-dependent lysine methyltransferase; catalyzes the dimethylation of translational elongation factor EF-1 alpha (Tef1p/Tef2p); role in vesicle-mediated transport; localizes to the cytoplasm,1331.780424,-0.52064531,0.151193787,-3.443562865,0.000574103,0.076820463,NA,NA,197202,44825,1.24E-07,290131,8.33E-08
YDR475C,JIP4,chr4,1407464,1410094,Protein whose biological role and cellular location are unknown,372.0610048,-0.497885161,0.142466276,-3.494758032,0.000474492,0.070174827,NA,NA,1357979,49485,1.25E-07,1523087,2.12E-08
YHR011W,DIA4,chr8,127780,129120,Mitochondrial seryl-tRNA synthetase that performs seryl-tRNA aminoacylation in the mitochondria by coupling serine to seryl-tRNA,253.2581036,-0.46410975,0.118800985,-3.906615333,9.36E-05,0.03287629,NA,NA,92155,35625,9.54E-09,134240,6.59E-07
YDL175C,AIR2,chr4,144484,145518,RNA binding protein-macromolecule adaptor involved in nuclear polyadenylation-dependent RNA catabolism; subunit of TRAMP complex,255.2234469,-0.458926776,0.118084882,-3.886414331,0.000101736,0.033632661,NA,NA,NA,NA,NA,319317,2.31E-07
YOR231W,MKK1,chr15,772601,774127,"MAP kinase kinase involved in peroxisome degradation, protein phosphorylation, regulation of cell wall organization and signal transduction; localizes to cellular bud neck, bud tip, cytoplasm and shmoo tip",261.4365663,-0.413880688,0.111170679,-3.722930289,0.000196924,0.045149906,NA,NA,407924,364677,5.23E-08,1054799,5.14E-08
YGR109C,CLB6,chr7,705359,706501,"Cyclin-dependent kinase regulatory subunit involved in the regulation of the G1/S phase transition of the mitotic cell cycle; regulates mitotic and premeiotic DNA replication, as well as mitotic spindle assembly",648.1074791,-0.407623107,0.098319683,-4.145895259,3.38E-05,0.022627112,NA,NA,661677,43682,6.88E-09,877185,3.22E-07
YLR103C,CDC45,chr12,343989,345941,Subunit of the CMG DNA helicase complex; involved in DNA replication initiation and double-strand break repair via break-induced replication,264.2583568,-0.382419484,0.112005973,-3.414277597,0.000639514,0.081599617,NA,NA,329759,14230,1.15E-10,375290,1.42E-09
YGR221C,TOS2,chr7,937124,938992,"Protein involved in anchoring Cdc24p to sites of polarized growth; negative regulator of cytokinesis; localizes to the incipient bud site, the bud tip, and the bud neck",229.1768425,-0.37039057,0.093328797,-3.968663281,7.23E-05,0.03087234,NA,NA,931627,5497,8.99E-14,987011,1.01E-07
