"","Gene_ID","n_SNPs","n_in_exons","n_introns","n_upstream","n_downstream","n_nonsynonymous","n_synonymous","n_modifer","n_low_impact","n_mod_impact","n_high_impact","effects","max_upstream_dist","min_upstream_dist","CHROM","n_in_gene","gene_length","gene_length_kb","n_in_gene_per_kb","up_to_in_ratio","up_to_in_per_kb_ratio","In_sigs","n_in_gene_per_kb_tf"
"1","15S_rRNA",5,0,0,5,0,0,0,5,0,0,0,"upstream_gene_variant",988,533,"Mito",0,NA,NA,NA,NA,NA,FALSE,NA
"2","21S_rRNA",10,0,0,10,0,0,0,10,0,0,0,"upstream_gene_variant",936,169,"Mito",0,NA,NA,NA,NA,NA,FALSE,NA
"3","ICR1",1,1,0,0,0,0,0,0,1,0,0,"splice_region_variant&non_coding_transcript_exon_variant",NA,NA,"IX",1,NA,NA,NA,0,NA,FALSE,NA
"4","Q0010",13,2,0,11,0,1,0,11,0,1,1,"upstream_gene_variant;stop_gained;missense_variant",931,2,"Mito",2,NA,NA,NA,5.5,NA,FALSE,NA
"5","Q0017",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"Mito",1,NA,NA,NA,0,NA,FALSE,NA
"6","Q0032",19,6,0,13,0,6,0,13,0,6,0,"upstream_gene_variant;missense_variant",859,38,"Mito",6,NA,NA,NA,2.16666666666667,NA,FALSE,NA
"7","Q0045",11,9,2,0,0,3,2,0,4,3,4,"splice_region_variant&intron_variant;missense_variant;synonymous_variant;splice_donor_variant&intron_variant;stop_gained;stop_retained_variant;stop_lost",NA,NA,"Mito",11,12884,12.884,0.853772120459485,0,0,FALSE,0.923997900679154
"8","Q0050",24,10,0,14,0,5,5,14,5,5,0,"upstream_gene_variant;synonymous_variant;missense_variant",871,69,"Mito",10,2505,2.505,3.99201596806387,1.4,3.507,FALSE,1.99800299500873
"9","Q0055",3,3,0,0,0,2,1,0,1,2,0,"synonymous_variant;missense_variant",NA,NA,"Mito",3,5013,5.013,0.598444045481747,0,0,FALSE,0.77359165292921
"10","Q0060",85,85,0,0,0,46,17,0,21,46,18,"missense_variant;stop_gained;synonymous_variant;stop_lost;stop_retained_variant",NA,NA,"Mito",85,6179,6.179,13.7562712413012,0,0,FALSE,3.70894476115528
"11","Q0065",3,2,1,0,0,2,0,0,0,2,1,"splice_donor_variant&intron_variant;missense_variant",NA,NA,"Mito",3,8118,8.118,0.369549150036955,0,0,FALSE,0.607905543680065
"12","Q0070",3,3,0,0,0,3,0,0,0,3,0,"missense_variant",NA,NA,"Mito",3,9350,9.35,0.320855614973262,0,0,FALSE,0.566441184037021
"13","Q0075",7,7,0,0,0,5,2,0,2,5,0,"missense_variant;synonymous_variant",NA,NA,"Mito",7,1100,1.1,6.36363636363636,0,0,FALSE,2.52262489554756
"14","Q0080",18,0,0,18,0,0,0,18,0,0,0,"upstream_gene_variant",957,110,"Mito",0,147,0.147,0,NA,NA,FALSE,0
"15","Q0085",14,9,0,5,0,3,6,5,6,3,0,"upstream_gene_variant;synonymous_variant;missense_variant",544,120,"Mito",9,780,0.78,11.5384615384615,0.555555555555556,0.433333333333333,FALSE,3.39683110243379
"16","Q0092",14,4,0,10,0,4,0,10,0,4,0,"upstream_gene_variant;missense_variant",982,352,"Mito",4,NA,NA,NA,2.5,NA,FALSE,NA
"17","Q0105",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"Mito",1,7108,7.108,0.140686550365785,0,0,FALSE,0.375082058176321
"18","Q0110",8,6,0,2,0,3,2,2,2,3,1,"upstream_gene_variant;missense_variant;stop_lost;synonymous_variant",719,528,"Mito",6,2040,2.04,2.94117647058824,0.333333333333333,0.68,FALSE,1.71498585142509
"19","Q0115",18,18,0,0,0,16,2,0,2,16,0,"synonymous_variant;missense_variant",NA,NA,"Mito",18,3726,3.726,4.83091787439614,0,0,FALSE,2.19793491131929
"20","Q0120",13,13,0,0,0,8,1,0,1,8,4,"missense_variant;stop_lost;stop_gained;synonymous_variant",NA,NA,"Mito",13,5712,5.712,2.27591036414566,0,0,FALSE,1.50861206549121
"21","Q0130",9,1,0,8,0,0,1,8,1,0,0,"upstream_gene_variant;synonymous_variant",712,112,"Mito",1,231,0.231,4.32900432900433,8,1.848,FALSE,2.0806259464412
"22","Q0140",9,2,0,7,0,2,0,7,0,2,0,"upstream_gene_variant;missense_variant",444,12,"Mito",2,1197,1.197,1.67084377610693,3.5,4.1895,FALSE,1.29261122388247
"23","Q0142",7,0,0,7,0,0,0,7,0,0,0,"upstream_gene_variant",557,6,"Mito",0,NA,NA,NA,NA,NA,FALSE,NA
"24","Q0143",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"Mito",1,NA,NA,NA,0,NA,FALSE,NA
"25","Q0144",16,3,0,13,0,2,1,13,1,2,0,"upstream_gene_variant;missense_variant;synonymous_variant",881,59,"Mito",3,NA,NA,NA,4.33333333333333,NA,FALSE,NA
"26","Q0160",3,0,0,3,0,0,0,3,0,0,0,"upstream_gene_variant",790,495,"Mito",0,708,0.708,0,NA,NA,FALSE,0
"27","Q0182",11,5,0,6,0,3,2,6,2,3,0,"upstream_gene_variant;missense_variant;synonymous_variant",669,34,"Mito",5,NA,NA,NA,1.2,NA,FALSE,NA
"28","Q0250",21,6,0,15,0,0,6,15,6,0,0,"upstream_gene_variant;synonymous_variant",996,129,"Mito",6,756,0.756,7.93650793650794,2.5,1.89,FALSE,2.81718084909506
"29","Q0255",5,5,0,0,0,2,2,0,2,3,0,"synonymous_variant;missense_variant;missense_variant&splice_region_variant",NA,NA,"Mito",5,1490,1.49,3.35570469798658,0,0,FALSE,1.83185826361828
"30","Q0275",4,4,0,0,0,0,4,0,4,0,0,"synonymous_variant",NA,NA,"Mito",4,810,0.81,4.93827160493827,0,0,FALSE,2.22222222222222
"31","Q0297",4,0,0,4,0,0,0,4,0,0,0,"upstream_gene_variant",134,71,"Mito",0,NA,NA,NA,NA,NA,FALSE,NA
"32","RPM1",1,0,0,1,0,0,0,1,0,0,0,"upstream_gene_variant",166,166,"Mito",0,NA,NA,NA,NA,NA,FALSE,NA
"33","RUF20",2,0,0,2,0,0,0,2,0,0,0,"upstream_gene_variant",143,96,"VI",0,NA,NA,NA,NA,NA,FALSE,NA
"34","RUF22",2,0,0,2,0,0,0,2,0,0,0,"upstream_gene_variant",59,15,"VI",0,NA,NA,NA,NA,NA,FALSE,NA
"35","YAL001C",32,19,1,12,0,15,3,12,5,15,0,"synonymous_variant;missense_variant;stop_retained_variant;splice_region_variant&intron_variant;upstream_gene_variant",989,141,"I",20,3573,3.573,5.59753708368318,0.6,2.25663157894737,FALSE,2.36591146995892
"36","YAL002W",12,12,0,0,0,4,8,0,8,4,0,"synonymous_variant;missense_variant",NA,NA,"I",12,3825,3.825,3.13725490196078,0,0,FALSE,1.77122977108019
"37","YAL003W",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"I",2,987,0.987,2.02634245187437,0,0,FALSE,1.42349655843432
"38","YAL004W",3,3,0,0,0,3,0,0,0,3,0,"missense_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"39","YAL005C",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"I",2,1929,1.929,1.03680663556247,0,0,TRUE,1.01823702327232
"40","YAL007C",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"I",1,648,0.648,1.54320987654321,0,0,FALSE,1.24225998749988
"41","YAL008W",10,10,0,0,0,3,7,0,7,3,0,"synonymous_variant;missense_variant",NA,NA,"I",10,597,0.597,16.750418760469,0,0,FALSE,4.09272754535029
